num_edge,win_rate,error
1,0.18338,0.0017306170899421974
2,0.17992,0.0017178404675638537
3,0.18002,0.0017182130228816216
4,0.1816,0.0017240733163064732
5,0.18028,0.0017191807444245065
6,0.18062,0.0017204442193805647
7,0.18244,0.0017271690502090409
8,0.18,0.0017181385275931624
9,0.17892,0.0017141040435166121
10,0.1813,0.001722964364112038
11,0.18256,0.0017276101782520267
12,0.18198,0.0017254754683854534
13,0.18262,0.0017278306375336676
14,0.18386,0.001732371209643014
15,0.18032,0.0017193295065228188
16,0.18382,0.0017322252024491505
17,0.18256,0.0017276101782520267
18,0.18018,0.0017188087013975699
19,0.18192,0.0017252542630000946
20,0.1806,0.0017203699602120468
21,0.17986,0.0017176168396938825
22,0.18158,0.0017239994408351762
23,0.18172,0.0017245164052568476
24,0.18414,0.0017333923987372277
25,0.1821,0.0017259176689517956
26,0.18196,0.0017254017410446762
27,0.18214,0.0017260650068870525
28,0.18254,0.0017275366763110994
29,0.18076,0.0017209638136811594
30,0.18112,0.0017222981484052058
31,0.18148,0.0017236299463631978
32,0.18168,0.0017243687401481158
33,0.18274,0.0017282713467508509
34,0.18442,0.0017344120825224898
35,0.1824,0.0017270219454309202
36,0.18166,0.0017242948958922312
37,0.18506,0.0017367371499452645
38,0.1812,0.0017225943225263457
39,0.17938,0.001715825256837071
40,0.1815,0.0017237038608763397
41,0.17948,0.001716198878918175
42,0.18196,0.0017254017410446762
43,0.18262,0.0017278306375336676
44,0.18052,0.0017200728449690728
45,0.17936,0.0017157505086696026
46,0.18156,0.0017239255575575182
47,0.1804,0.0017196269362858912
48,0.18322,0.0017300313962469005
49,0.18274,0.0017282713467508509
50,0.1837,0.0017317869961401143
51,0.18276,0.0017283447711611247
52,0.18124,0.0017227423626300015
53,0.17888,0.001713954174416574
54,0.18258,0.0017276836724354375
55,0.18224,0.0017264332156211547
56,0.18358,0.001731348512576252
57,0.17902,0.001714478577293983
58,0.17908,0.0017147032023064515
59,0.18082,0.0017211863792163822
60,0.18216,0.001726138664186629
61,0.18078,0.0017210380100392902
62,0.1831,0.0017295918015531873
63,0.18416,0.0017334652831827928
