red proportion,win rate,error
0.01,0.67118,0.0021009398258874526
0.02,0.68224,0.0020822515813416977
0.03,0.68852,0.002071039398949233
0.04,0.69628,0.0020565707456832115
0.05,0.69996,0.002049468215903823
0.06,0.70542,0.0020386398583369255
0.07,0.715,0.002018786764371116
0.08,0.7217,0.0020042410533665854
0.09,0.72532,0.001996150783883823
0.1,0.73168,0.0019815366643087884
0.11,0.7326,0.0019793799028988853
0.12,0.73884,0.001964461526220353
0.13,0.74384,0.0019521375689228462
0.14,0.74842,0.0019405540631479454
0.15,0.75172,0.0019320302357882495
0.16,0.7502,0.0019359749998385826
0.17,0.76056,0.001908446941363579
0.18,0.76084,0.0019076818099463023
0.19,0.76124,0.0019065868057867178
0.2,0.76754,0.001889033342215007
0.21,0.77214,0.0018758455181597442
0.22,0.77096,0.0018792587815412757
0.23,0.77574,0.001865301329008265
0.24,0.77664,0.0018626342120770787
0.25,0.7779,0.0018588791784298407
0.26,0.78448,0.0018388644844033507
0.27,0.78656,0.001832393879055483
0.28,0.78602,0.001834080475878853
0.29,0.79356,0.001810096828349246
0.3,0.79194,0.001815329371767008
0.31,0.79302,0.0018118459073552587
0.32,0.79342,0.0018105507648226824
0.33,0.79584,0.0018026574516529757
0.34,0.79766,0.0017966553614981364
0.35000000000000003,0.79912,0.0017917992387541633
0.36,0.80252,0.0017803463123785776
0.37,0.80168,0.001783194759974356
0.38,0.80314,0.001778235869619101
0.39,0.80564,0.0017696564095891609
0.4,0.80656,0.0017664708681435987
0.41000000000000003,0.80846,0.0017598433362092207
0.42,0.8112,0.0017501689061344907
0.43,0.8102,0.0017537158264667625
0.44,0.80992,0.001754705636851948
0.45,0.813,0.001743737365545626
0.46,0.8113,0.0017498131900291526
0.47000000000000003,0.81246,0.001745673213405075
0.48,0.81854,0.0017235560240386732
0.49,0.819,0.0017218536523177575
0.5,0.8193,0.001720741177516247
0.51,0.82074,0.0017153766490191008
0.52,0.81976,0.0017190319508374472
0.53,0.82386,0.0017036120473863758
0.54,0.82176,0.0017115519413678335
0.55,0.82244,0.0017089906167091734
0.56,0.8234,0.0017053588478675096
0.5700000000000001,0.82632,0.0016941974949810307
0.58,0.82448,0.0017012508903744914
0.59,0.8275,0.0016896375350944355
0.6,0.82986,0.0016804307804845755
0.61,0.8285,0.00168575057466993
0.62,0.8327,0.0016691956745690422
0.63,0.83054,0.0016777562898108893
0.64,0.83472,0.0016610991638069054
0.65,0.82696,0.0016917278646401731
0.66,0.8285,0.00168575057466993
0.67,0.8301,0.0016794879576823409
0.68,0.83048,0.0016779926674452424
0.6900000000000001,0.83222,0.001671106648900662
0.7000000000000001,0.8303,0.0016787013433008265
0.71,0.83074,0.0016769678136446147
0.72,0.83008,0.001679566572660935
0.73,0.83406,0.0016637542871469934
0.74,0.83338,0.0016664799764773653
0.75,0.83238,0.0016704702068579373
0.76,0.83012,0.0016794093342601144
0.77,0.83108,0.001675625456956297
0.78,0.83028,0.0016787800427691532
0.79,0.82992,0.0016801951886611269
0.8,0.82842,0.0016860622977814311
0.81,0.8247,0.001700411185566597
0.8200000000000001,0.82626,0.0016944285904103484
0.8300000000000001,0.82264,0.0017082355247447583
0.84,0.82314,0.0017063442817907529
0.85,0.8206,0.0017158999970860772
0.86,0.81766,0.0017268012300204097
0.87,0.81706,0.0017290052423286633
0.88,0.8076,0.0017628513266864
0.89,0.8046,0.001773239070176382
0.9,0.80244,0.0017806181308747814
0.91,0.797,0.0017988385141529519
0.92,0.78938,0.0018235087913141522
0.93,0.78358,0.0018416426558917449
0.9400000000000001,0.7745,0.0018689555906976497
0.9500000000000001,0.7657,0.0018942202089514302
0.96,0.75456,0.001924573752289062
0.97,0.73152,0.0019819106417797955
0.98,0.71644,0.0020157069548920052
0.99,0.70234,0.002044791062187039
1.0,0.67104,0.002101167858120812
