num_edges,red_ratio,mafia_win_rate
0,0.0,0.495
0,0.05,0.494
0,0.1,0.471
0,0.15000000000000002,0.508
0,0.2,0.512
0,0.25,0.486
0,0.30000000000000004,0.493
0,0.35000000000000003,0.486
0,0.4,0.492
0,0.45,0.489
0,0.5,0.49
0,0.55,0.493
0,0.6000000000000001,0.5
0,0.65,0.484
0,0.7000000000000001,0.467
0,0.75,0.478
0,0.8,0.508
0,0.8500000000000001,0.502
0,0.9,0.474
0,0.9500000000000001,0.488
0,1.0,0.483
5,0.0,0.515
5,0.05,0.508
5,0.1,0.508
5,0.15000000000000002,0.513
5,0.2,0.501
5,0.25,0.52
5,0.30000000000000004,0.495
5,0.35000000000000003,0.521
5,0.4,0.47
5,0.45,0.508
5,0.5,0.529
5,0.55,0.486
5,0.6000000000000001,0.51
5,0.65,0.513
5,0.7000000000000001,0.533
5,0.75,0.486
5,0.8,0.499
5,0.8500000000000001,0.511
5,0.9,0.503
5,0.9500000000000001,0.521
5,1.0,0.491
10,0.0,0.503
10,0.05,0.507
10,0.1,0.511
10,0.15000000000000002,0.513
10,0.2,0.518
10,0.25,0.491
10,0.30000000000000004,0.531
10,0.35000000000000003,0.5
10,0.4,0.539
10,0.45,0.5
10,0.5,0.503
10,0.55,0.557
10,0.6000000000000001,0.481
10,0.65,0.505
10,0.7000000000000001,0.515
10,0.75,0.519
10,0.8,0.525
10,0.8500000000000001,0.5
10,0.9,0.519
10,0.9500000000000001,0.511
10,1.0,0.518
15,0.0,0.528
15,0.05,0.519
15,0.1,0.54
15,0.15000000000000002,0.534
15,0.2,0.55
15,0.25,0.504
15,0.30000000000000004,0.526
15,0.35000000000000003,0.525
15,0.4,0.55
15,0.45,0.504
15,0.5,0.54
15,0.55,0.507
15,0.6000000000000001,0.486
15,0.65,0.478
15,0.7000000000000001,0.522
15,0.75,0.518
15,0.8,0.51
15,0.8500000000000001,0.516
15,0.9,0.528
15,0.9500000000000001,0.54
15,1.0,0.522
20,0.0,0.555
20,0.05,0.524
20,0.1,0.563
20,0.15000000000000002,0.525
20,0.2,0.545
20,0.25,0.566
20,0.30000000000000004,0.529
20,0.35000000000000003,0.538
20,0.4,0.538
20,0.45,0.527
20,0.5,0.531
20,0.55,0.561
20,0.6000000000000001,0.531
20,0.65,0.509
20,0.7000000000000001,0.539
20,0.75,0.538
20,0.8,0.555
20,0.8500000000000001,0.52
20,0.9,0.505
20,0.9500000000000001,0.499
20,1.0,0.51
25,0.0,0.577
25,0.05,0.528
25,0.1,0.55
25,0.15000000000000002,0.569
25,0.2,0.577
25,0.25,0.538
25,0.30000000000000004,0.536
25,0.35000000000000003,0.533
25,0.4,0.538
25,0.45,0.509
25,0.5,0.56
25,0.55,0.532
25,0.6000000000000001,0.523
25,0.65,0.529
25,0.7000000000000001,0.511
25,0.75,0.538
25,0.8,0.53
25,0.8500000000000001,0.517
25,0.9,0.516
25,0.9500000000000001,0.514
25,1.0,0.533
30,0.0,0.586
30,0.05,0.577
30,0.1,0.57
30,0.15000000000000002,0.54
30,0.2,0.544
30,0.25,0.536
30,0.30000000000000004,0.544
30,0.35000000000000003,0.562
30,0.4,0.543
30,0.45,0.56
30,0.5,0.553
30,0.55,0.516
30,0.6000000000000001,0.52
30,0.65,0.534
30,0.7000000000000001,0.565
30,0.75,0.519
30,0.8,0.527
30,0.8500000000000001,0.537
30,0.9,0.532
30,0.9500000000000001,0.53
30,1.0,0.507
35,0.0,0.559
35,0.05,0.534
35,0.1,0.531
35,0.15000000000000002,0.561
35,0.2,0.548
35,0.25,0.563
35,0.30000000000000004,0.539
35,0.35000000000000003,0.539
35,0.4,0.564
35,0.45,0.536
35,0.5,0.564
35,0.55,0.577
35,0.6000000000000001,0.559
35,0.65,0.554
35,0.7000000000000001,0.544
35,0.75,0.54
35,0.8,0.564
35,0.8500000000000001,0.573
35,0.9,0.518
35,0.9500000000000001,0.543
35,1.0,0.506
41,0.0,0.57
41,0.05,0.572
41,0.1,0.579
41,0.15000000000000002,0.557
41,0.2,0.562
41,0.25,0.577
41,0.30000000000000004,0.532
