red proportion,win rate,error
0.01,0.49,0.04998999899979995
0.02,0.47,0.04990991885387112
0.03,0.46,0.04983974317750845
0.04,0.47,0.04990991885387112
0.05,0.55,0.049749371855330994
0.06,0.52,0.049959983987187186
0.07,0.61,0.048774993593028795
0.08,0.49,0.04998999899979995
0.09,0.58,0.04935585071701227
0.1,0.54,0.04983974317750845
0.11,0.54,0.04983974317750845
0.12,0.57,0.04950757517794625
0.13,0.63,0.048280430818293245
0.14,0.6,0.04898979485566356
0.15,0.67,0.04702127178203499
0.16,0.6,0.04898979485566356
0.17,0.65,0.047696960070847276
0.18,0.6,0.04898979485566356
0.19,0.62,0.048538644398046386
0.2,0.56,0.04963869458396342
0.21,0.55,0.049749371855330994
0.22,0.64,0.048
0.23,0.59,0.04918333050943175
0.24,0.6,0.04898979485566356
0.25,0.66,0.04737087712930804
0.26,0.67,0.04702127178203499
0.27,0.64,0.048
0.28,0.69,0.04624932431938871
0.29,0.62,0.048538644398046386
0.3,0.63,0.048280430818293245
0.31,0.65,0.047696960070847276
0.32,0.7,0.045825756949558406
0.33,0.61,0.048774993593028795
0.34,0.61,0.048774993593028795
0.35000000000000003,0.53,0.04990991885387112
0.36,0.67,0.04702127178203499
0.37,0.66,0.04737087712930804
0.38,0.61,0.048774993593028795
0.39,0.73,0.044395945760846225
0.4,0.66,0.04737087712930804
0.41000000000000003,0.5,0.05
0.42,0.67,0.04702127178203499
0.43,0.77,0.042083250825001625
0.44,0.62,0.048538644398046386
0.45,0.67,0.04702127178203499
0.46,0.6,0.04898979485566356
0.47000000000000003,0.72,0.0448998886412873
0.48,0.71,0.04537620521815371
0.49,0.61,0.048774993593028795
0.5,0.77,0.042083250825001625
0.51,0.77,0.042083250825001625
0.52,0.72,0.0448998886412873
0.53,0.73,0.044395945760846225
0.54,0.73,0.044395945760846225
0.55,0.65,0.047696960070847276
0.56,0.68,0.0466476151587624
0.5700000000000001,0.7,0.045825756949558406
0.58,0.64,0.048
0.59,0.73,0.044395945760846225
0.6,0.76,0.04270831300812525
0.61,0.74,0.04386342439892262
0.62,0.67,0.04702127178203499
0.63,0.69,0.04624932431938871
0.64,0.73,0.044395945760846225
0.65,0.72,0.0448998886412873
0.66,0.71,0.04537620521815371
0.67,0.73,0.044395945760846225
0.68,0.69,0.04624932431938871
0.6900000000000001,0.64,0.048
0.7000000000000001,0.74,0.04386342439892262
0.71,0.75,0.04330127018922193
0.72,0.65,0.047696960070847276
0.73,0.73,0.044395945760846225
0.74,0.73,0.044395945760846225
0.75,0.68,0.0466476151587624
0.76,0.66,0.04737087712930804
0.77,0.69,0.04624932431938871
0.78,0.72,0.0448998886412873
0.79,0.64,0.048
0.8,0.73,0.044395945760846225
0.81,0.65,0.047696960070847276
0.8200000000000001,0.69,0.04624932431938871
0.8300000000000001,0.7,0.045825756949558406
0.84,0.74,0.04386342439892262
0.85,0.69,0.04624932431938871
0.86,0.8,0.04
0.87,0.67,0.04702127178203499
0.88,0.63,0.048280430818293245
0.89,0.67,0.04702127178203499
0.9,0.63,0.048280430818293245
0.91,0.64,0.048
0.92,0.64,0.048
0.93,0.61,0.048774993593028795
0.9400000000000001,0.58,0.04935585071701227
0.9500000000000001,0.63,0.048280430818293245
0.96,0.54,0.04983974317750845
0.97,0.51,0.04998999899979995
0.98,0.48,0.049959983987187186
0.99,0.53,0.04990991885387112
1.0,0.47,0.04990991885387112
