red_bias,win_rate_red,error_red
1,0.18294,0.0017290052423286633
2,0.1826,0.0017277571588623212
3,0.1846,0.0017350667998667947
4,0.18378,0.001732079164472571
5,0.1786,0.00171290420047357
6,0.18126,0.001722816370946132
7,0.18324,0.0017301046349859884
8,0.18406,0.001733100784143842
9,0.18038,0.0017195525906467648
10,0.1816,0.0017240733163064732
11,0.1826,0.0017277571588623212
12,0.18186,0.0017250329875106735
13,0.18334,0.0017304707128408731
14,0.18122,0.0017226683464904092
15,0.1814,0.001723334210186753
16,0.18228,0.001726580444694078
17,0.1815,0.0017237038608763397
18,0.18414,0.0017333923987372277
19,0.18068,0.0017206669497610513
20,0.18386,0.001732371209643014
21,0.18198,0.0017254754683854534
22,0.18044,0.0017197756039669825
23,0.18244,0.0017271690502090409
24,0.1832,0.0017299581497828207
25,0.17906,0.001714628335237698
26,0.1833,0.0017303243048631086
27,0.18258,0.0017276836724354375
28,0.1839,0.001732517186061945
29,0.18518,0.00173717222865207
30,0.18196,0.0017254017410446762
31,0.18222,0.0017263595894250999
32,0.18212,0.0017259913418091065
33,0.18072,0.001720815397420653
34,0.18094,0.0017216312985073197
35,0.1807,0.001720741177516247
36,0.1818,0.0017248116418902095
37,0.1802,0.0017188831257534643
38,0.18044,0.0017197756039669825
39,0.18316,0.0017298116336757596
40,0.18018,0.0017188087013975699
41,0.18062,0.0017204442193805647
42,0.17924,0.0017153018533191176
43,0.18356,0.0017312754050121547
44,0.18188,0.0017251067537981525
45,0.18212,0.0017259913418091065
46,0.18154,0.0017238516664724955
47,0.18268,0.0017280510270243758
48,0.18406,0.001733100784143842
49,0.18002,0.0017182130228816216
50,0.18082,0.0017211863792163822
51,0.1809,0.0017214830234422876
52,0.18294,0.0017290052423286633
53,0.18202,0.0017256228997089718
54,0.1835,0.0017310560360658462
55,0.18202,0.0017256228997089718
56,0.17968,0.0017169455297125766
57,0.1837,0.0017317869961401143
58,0.18262,0.0017278306375336676
59,0.18064,0.0017205184706942265
60,0.1817,0.001724442576602654
61,0.18458,0.0017349940841397701
62,0.1828,0.00172849159673977
63,0.18152,0.0017237777675791041
64,0.18352,0.0017311291667579283
65,0.183,0.0017292252600514485
66,0.18264,0.001727904108450466
67,0.18262,0.0017278306375336676
68,0.18178,0.0017247378444273783
69,0.18018,0.0017188087013975699
70,0.18108,0.0017221500143715703
71,0.18212,0.0017259913418091065
72,0.18188,0.0017251067537981525
73,0.1815,0.0017237038608763397
74,0.18368,0.0017317139348056306
75,0.18162,0.0017241471839724125
76,0.18288,0.0017287851549570874
77,0.18246,0.0017272425909524115
78,0.1805,0.0017199985465110137
79,0.18182,0.0017248854315577021
80,0.18212,0.0017259913418091065
81,0.18302,0.0017292985838194628
82,0.18268,0.0017280510270243758
83,0.18072,0.001720815397420653
84,0.1827,0.0017281244746834643
85,0.18158,0.0017239994408351762
86,0.18126,0.001722816370946132
87,0.1834,0.0017306902669166427
88,0.1831,0.0017295918015531873
89,0.18012,0.0017185853810619944
90,0.18396,0.001732736093004356
91,0.18306,0.0017294452081520247
92,0.18092,0.0017215571648946195
93,0.185,0.0017365195075207188
94,0.18082,0.0017211863792163822
95,0.18246,0.0017272425909524115
96,0.18242,0.0017270955017022074
97,0.17832,0.001711852666557493
98,0.18212,0.0017259913418091065
99,0.18178,0.0017247378444273783
