green_bias,win_rate_green,error_green
0.01,0.54538,0.0022268392649672764
0.02,0.5374,0.0022298037581814237
0.03,0.53558,0.0022303993525824026
0.04,0.53496,0.0022305954290278637
0.05,0.53024,0.0022319746521858174
0.06,0.52834,0.0022324732670291935
0.07,0.5299,0.0022320662624572777
0.08,0.52698,0.002232810245408239
0.09,0.5252,0.002233226186484477
0.1,0.52622,0.002232991319284515
0.11,0.5213,0.002234038092781768
0.12,0.51606,0.002234914210434038
0.13,0.51844,0.0022345467835782717
0.14,0.51836,0.002234559958470571
0.15,0.51096,0.0022355307128286116
0.16,0.5145,0.0022351275131410287
0.17,0.50942,0.002235671101034318
0.18,0.51324,0.0022352838853264253
0.19,0.51184,0.00223544096052658
0.2,0.51044,0.0022355804901635725
0.21,0.50666,0.002235869604426877
0.22,0.50908,0.0022356992355860392
0.23,0.50332,0.0022360186832850928
0.24,0.50582,0.002235916490390462
0.25,0.5078,0.0022357958761926367
0.26,0.50632,0.002235889342521226
0.27,0.5046,0.002235973345100518
0.28,0.50454,0.0022359757977223277
0.29,0.50284,0.0022360319067490962
0.3,0.50376,0.0022360047513366337
0.31,0.50594,0.002235910178875708
0.32,0.5042,0.0022359890876299015
0.33,0.50084,0.0022360648219584335
0.34,0.50148,0.002236058181711737
0.35000000000000003,0.49826,0.002236054437619979
0.36,0.4981,0.0022360518330307106
0.37,0.5016,0.002236056528802436
0.38,0.50368,0.002236007413225636
0.39,0.49936,0.0022360661457121525
0.4,0.50054,0.002236066673424565
0.41000000000000003,0.50014,0.002236067889845923
0.42,0.50164,0.0022360559492105737
0.43,0.50214,0.0022360474968121766
0.44,0.49742,0.002236038208975866
0.45,0.49912,0.0022360645142750243
0.46,0.50212,0.0022360478778416172
0.47000000000000003,0.49434,0.0022359247053512334
0.48,0.49868,0.0022360601852365247
0.49,0.49654,0.0022360144382360327
0.5,0.49434,0.0022359247053512334
0.51,0.49912,0.0022360645142750243
0.52,0.50198,0.0022360504448692563
0.53,0.49416,0.0022359154474174553
0.54,0.49618,0.002236002717350764
0.55,0.49726,0.002236034402239822
0.56,0.49556,0.00223597981386237
0.5700000000000001,0.49306,0.0022358525729573495
0.58,0.49546,0.0022359757977223277
0.59,0.4925,0.0022358164057006114
0.6,0.49572,0.00223598605362377
0.61,0.49682,0.0022360227530148257
0.62,0.49456,0.0022359356269803475
0.63,0.49222,0.00223579726987936
0.64,0.49508,0.0022359597205674347
0.65,0.492,0.002235781742478456
0.66,0.4981,0.0022360518330307106
0.67,0.49246,0.0022358137149592764
0.68,0.49394,0.002235903738536165
0.6900000000000001,0.49306,0.0022358525729573495
0.7000000000000001,0.4973,0.0022360353753910064
0.71,0.49164,0.0022357553998592957
0.72,0.49552,0.0022359782181407763
0.73,0.49534,0.0022359708602752407
0.74,0.49488,0.0022359507400656216
0.75,0.49174,0.002235762833576048
0.76,0.49176,0.0022357643095818488
0.77,0.4962,0.002236003398924071
0.78,0.49448,0.0022359317055759996
0.79,0.49036,0.0022356523450662003
0.8,0.49636,0.0022360087227021276
0.81,0.49296,0.0022358463203002122
0.8200000000000001,0.49726,0.002236034402239822
0.8300000000000001,0.4936,0.002235884791307459
0.84,0.49396,0.002235904820872302
0.85,0.49248,0.002235815062119405
0.86,0.49076,0.0022356861246606153
0.87,0.49286,0.002235839978173751
0.88,0.49128,0.0022357278975760893
0.89,0.49212,0.002235790265655524
0.9,0.49594,0.002235994259384402
0.91,0.49398,0.0022359058996299463
0.92,0.49812,0.002236052171126604
0.93,0.4945,0.0022359326912946196
0.9400000000000001,0.49272,0.002235830948886789
0.9500000000000001,0.49446,0.0022359307162790176
0.96,0.49718,0.0022360324130029957
0.97,0.49554,0.0022359790177906413
0.98,0.49448,0.0022359317055759996
0.99,0.49786,0.0022360474968121766
1.0,0.49246,0.0022358137149592764
