num_edge,win_rate,error
1,0.49172,0.002235761353991074
2,0.4947,0.002235942351671885
3,0.50122,0.002236061321162727
4,0.5019,0.0022360518330307106
5,0.50306,0.0022360261018154505
6,0.50166,0.0022360556540479935
7,0.50302,0.002236027189459019
8,0.50506,0.0022359534717878186
9,0.51234,0.002235386876583112
10,0.5144,0.0022351404430147113
11,0.5145,0.0022351275131410287
12,0.51734,0.002234722910787823
13,0.51878,0.0022344901503475014
14,0.52268,0.0022337664049761337
15,0.51952,0.0022343633079694087
16,0.52682,0.0022328487973886633
17,0.52394,0.0022335034201899045
18,0.52686,0.0022328391809532545
19,0.5281,0.0022325339415113043
20,0.53044,0.002231920278146153
21,0.52726,0.0022327422260529765
22,0.53178,0.0022315466905265505
23,0.53276,0.0022312632404088944
24,0.53704,0.002229923937716262
25,0.53774,0.0022296891819264856
26,0.5388,0.0022293252790923086
27,0.54226,0.002228066841008142
28,0.54308,0.0022277527403192663
29,0.54158,0.0022283227037392947
30,0.54522,0.0022269043607663084
31,0.54658,0.0022263436554135125
32,0.5459,0.002226626102424922
33,0.54588,0.002226634346272418
34,0.5523,0.002223801744760535
35,0.55212,0.0022238862632787677
36,0.5542,0.002222891630287001
37,0.55358,0.0022231922256071334
38,0.55504,0.0022224787891001346
39,0.5554,0.002222299889753856
40,0.55858,0.0022206682940052076
41,0.56174,0.002218955485808582
42,0.56646,0.002216226831350979
43,0.56368,0.002217858686210643
44,0.5628,0.0022183604756666575
45,0.56634,0.0022162987361815647
46,0.56928,0.0022144989573264647
47,0.56822,0.0022151570219738374
48,0.5729,0.002212173546537432
49,0.57322,0.002211962167850074
50,0.5746,0.0022110397554092054
51,0.5782,0.0022085504748590194
52,0.57514,0.0022106740166745525
53,0.57662,0.002209657781648552
54,0.5775,0.0022090439108356356
55,0.57724,0.002209226029178545
56,0.57876,0.002208152451258744
57,0.57708,0.002209337790379733
58,0.58448,0.0022039198243130353
59,0.58442,0.0022039658055423637
60,0.58476,0.0022037048005574614
61,0.58696,0.002201989820139957
62,0.58968,0.0021998067987893844
63,0.58744,0.0022016096220719965
64,0.59082,0.0021988711995021447
65,0.58794,0.0022012112865420256
66,0.58952,0.002199937133647232
67,0.5892,0.0022001970820815123
68,0.58902,0.002200342880552938
69,0.59208,0.0021978228936836565
70,0.59292,0.0021971157165702492
71,0.59652,0.002194009524136119
72,0.59642,0.0021940974618279837
73,0.59304,0.0021970141483386037
74,0.59802,0.0021926790900631127
75,0.59636,0.0021941501789986937
76,0.59952,0.002191327312840325
77,0.60124,0.0021897509557024975
78,0.59994,0.002190944985160513
79,0.60822,0.002183064046701333
80,0.60606,0.002185183179506926
81,0.60408,0.0021870864345059616
82,0.60546,0.0021857638866080663
83,0.60752,0.0021837557079490374
84,0.61132,0.002179944300205856
85,0.6105,0.002180778530708701
86,0.60822,0.002183064046701333
87,0.61082,0.002180453749108199
88,0.61422,0.002176941853150883
89,0.61594,0.002175122600682545
90,0.6127,0.0021785256941335347
91,0.61634,0.0021746954011999014
92,0.61712,0.0021738578867994108
93,0.61612,0.0021749305533740612
94,0.61686,0.0021741377159692527
95,0.61628,0.002174759580275484
96,0.61644,0.0021745883582876095
97,0.6175,0.0021734477219385795
98,0.61986,0.0021708688601571493
